Decibels,Average Minimum Frequency,Average Maximum Frequency,Average Peak Frequency
48.5,2315.363529,4359.528144,3072.41707
49.2,2143.150794,3980.353175,2860.63587
47.6,1947.254839,4035.504301,2931.75914
45.1,2083.373148,4117.212963,2923.7287
43.8,2004.831915,3816.044681,2910.57083
46.9,2031.310573,4102.632159,2764.60264
45.8,1999.879348,3905.967391,2774.57447
48.8,2001.011111,4314.936364,2901.3202
46,2166.516667,4120.457018,2942.24783
46.5,2012.915772,4164.809396,2931.1272
46.5,2108.37963,3925.96512,2909.81783
46.2,2016.67444,3980.86391,2868.26404
44.1,2011.089474,3877.424561,2716.95439
43.9,2246.653416,4251.248447,3031.07063
49.62,2148.343269,4254.754808,2971.98667
42.83,2102.543082,4070.67673,2896.3164
46.13,1970.618072,4104.539759,2811.92195
42.42,2053.933813,4055.583453,2861.59353
46,2233.284,4159.4104,3087.6832
48.72,2144.800602,3964.724096,2860.07024
41.23,2240.133945,3977.910891,2890.54737
43,2195.074219,4101.597656,2978.30469
46.3,2355.882353,4250.117647,3133.19882
48.3,2072.883824,4150.454412,3031.4971
47.5,2326.295726,4214.405128,3139.42222
43.52,1983.67132,4028.530233,2856.73876
43.52,1912.699174,3710.860331,2650.5405
48.5,2073.82286,4068.6054,2980.87365
65.05,2367.128049,4483.192683,3186.91625
61.2,2225.921739,4354.075,2992.42421
67.5,2447.903636,4471.447273,3078.42025
67.085,2324.96881,4451.02798,3122.90046
60.543,2158.06323,4048.13419,2884.3329
67.435,2012.33261,4068.09842,2847.23182
60.7,2185.064535,4057.29186,3044.94012
63.41,2282.291237,4157.547423,3050.80123
59.51,2266.794313,4250.349289,3004.85213
60.78,2523.175,4555.998077,3270.18465
58.08,2546.895988,4303.749699,3302.25478
57.87,2287.83913,4061.4,2934.12464
65.63,2347.158571,4339.875,2885.26696
63.7,2417.483444,4002.006623,3100.77158
63.085,2386.378521,4244.521127,3141.57148
59.72,2380.855405,4065.175338,3003.68364
64.5,2368.127523,4217.426606,3113.81468
58.7,2354.418932,3992.21987,3099.68845
62.57,2248.774783,4192.98087,2938.61975
60.8,2241.996947,4293.166412,2966.13506
59.89,2260.323235,4215.471754,3245.23861
64.29,2393.178313,4174.227711,3250.24824
62.445,2253.397814,3961.312568,2971.13918
64.2,2228.45432,4228.68457,3085.3637
63.9,2149.33642,4271.6745,3085.08841
54.1,2177.25263,4077.55673,3030.51462
52.4,2167.65,4232.99057,2948.82736
53.46,2141.402767,3895.259684,2886.30198
53.1,2194.72647,4007.32279,2963.34338
57.8,2283.20513,4199.80598,3086.42222
56.45,2728.2,4487.04788,3367.00667
54.74,2077.2,4244.4,2918.172
