Decibels,Average Minimum Frequency
48.5,2315.363529
49.2,2143.150794
47.6,1947.254839
45.1,2083.373148
43.8,2004.831915
46.9,2031.310573
45.8,1999.879348
48.8,2001.011111
46,2166.516667
46.5,2012.915772
46.5,2108.37963
46.2,2016.67444
44.1,2011.089474
43.9,2246.653416
49.62,2148.343269
42.83,2102.543082
46.13,1970.618072
42.42,2053.933813
46,2233.284
48.72,2144.800602
41.23,2240.133945
43,2195.074219
46.3,2355.882353
48.3,2072.883824
47.5,2326.295726
43.52,1983.67132
43.52,1912.699174
65.05,2367.128049
61.2,2225.921739
67.5,2447.903636
67.085,2324.96881
60.543,2158.06323
67.435,2012.33261
60.7,2185.064535
63.41,2282.291237
59.51,2266.794313
60.78,2523.175
58.08,2546.895988
57.87,2287.83913
65.63,2347.158571
63.7,2417.483444
63.085,2386.378521
59.72,2380.855405
64.5,2368.127523
58.7,2354.418932
62.57,2248.774783
60.8,2241.996947
59.89,2260.323235
64.29,2393.178313
62.445,2253.397814
54.1,2177.25263
52.4,2167.65
53.46,2141.402767
53.1,2194.72647
57.8,2283.20513
56.45,2728.2
54.74,2077.2
